cards,stimulant
6,coffee
7,coffee
10,coffee
7,coffee
7,coffee
10,coffee
8,coffee
4,coffee
6,coffee
6,coffee
9,coffee
8,coffee
8,coffee
7,coffee
6,coffee
11,coffee
8,coffee
3,coffee
8,coffee
6,coffee
5,coffee
7,coffee
5,coffee
6,coffee
6,coffee
4,coffee
9,coffee
7,coffee
5,coffee
10,coffee
8,coffee
6,coffee
9,coffee
9,coffee
9,coffee
8,coffee
8,coffee
7,coffee
6,coffee
6,coffee
4,tea
5,tea
2,tea
9,tea
7,tea
3,tea
4,tea
4,tea
7,tea
5,tea
6,tea
5,tea
5,tea
8,tea
5,tea
8,tea
2,tea
6,tea
5,tea
5,tea
6,tea
4,tea
4,tea
3,tea
3,tea
6,tea
6,tea
5,tea
7,tea
9,tea
4,tea
0,tea
7,tea
4,tea
4,tea
7,tea
4,tea
3,tea
5,tea
5,tea
6,water
7,water
5,water
7,water
6,water
7,water
8,water
7,water
5,water
8,water
8,water
7,water
6,water
5,water
9,water
5,water
10,water
9,water
6,water
4,water
5,water
7,water
6,water
5,water
4,water
6,water
4,water
3,water
5,water
8,water
5,water
7,water
3,water
6,water
7,water
7,water
6,water
5,water
4,water
4,water